,MonthlyCharges,Churn,gender_Female,gender_Male,Partner_No,Partner_Yes,Dependents_No,Dependents_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
104,110.0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
105,24.3,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
106,104.15,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
107,30.15,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
108,94.35,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
109,19.4,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0
110,96.75,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
111,57.95,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
112,91.65,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
113,76.5,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
114,54.6,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0
115,89.85,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
116,31.05,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0
117,100.25,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
118,20.65,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
119,85.2,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0
120,99.8,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
121,20.7,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
122,74.4,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
123,50.7,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1
124,20.85,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1
125,88.95,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0
126,78.05,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
127,23.55,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0
128,19.75,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
129,56.45,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
130,85.95,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
131,58.6,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0
132,50.55,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0
133,35.45,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
134,44.35,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
135,25.7,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
136,75.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
137,20.2,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
138,19.6,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
139,70.45,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1
140,88.05,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0
141,71.15,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
142,101.05,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0
143,84.3,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
144,23.95,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0
145,99.05,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0
146,19.6,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
147,45.65,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
148,64.5,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0
149,69.5,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1
150,68.55,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0
151,95.0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1
152,108.15,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
153,86.1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
154,19.7,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1
155,80.9,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0
156,84.15,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
157,20.15,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
158,64.25,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1
159,25.7,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0
160,56.0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0
161,82.4,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
162,69.7,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
163,73.9,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0
164,20.6,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
165,19.9,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
166,70.9,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
167,89.05,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0
168,45.3,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
169,20.4,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
170,84.25,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
171,104.4,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
172,81.95,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1
173,94.85,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
174,20.55,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0
175,24.7,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
176,74.45,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1
177,76.45,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
178,105.35,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0
179,20.55,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
180,29.95,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0
181,45.3,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
182,84.5,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
183,74.75,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0
184,79.25,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
185,24.8,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
186,51.8,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
187,30.4,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
188,19.65,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
189,56.6,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
190,71.9,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
191,91.0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
192,19.75,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0
193,109.7,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
194,19.3,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0
195,96.55,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
196,24.1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0
197,111.35,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
198,112.25,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0
199,20.75,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1
200,101.9,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
201,80.05,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
202,105.55,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
203,78.3,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0
204,68.85,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
205,79.95,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
206,55.45,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0
207,79.9,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
208,106.6,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
209,102.45,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
210,46.0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
211,25.25,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
212,19.75,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
213,20.0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
214,86.8,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
215,58.75,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0
216,45.25,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0
217,56.6,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0
218,84.2,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0
219,80.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
220,70.15,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
221,24.75,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0
222,20.2,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
223,50.05,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
224,19.35,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0
225,50.6,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
226,81.15,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1
227,55.2,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
228,89.9,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
229,85.3,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
230,108.0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0
231,93.5,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
232,84.6,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1
233,20.25,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
234,25.15,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
235,54.4,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
236,29.6,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
237,73.15,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
238,95.0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
239,19.75,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
240,86.6,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0
241,109.2,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
242,74.7,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
243,94.4,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
244,54.8,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
245,75.35,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
246,65.0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
247,74.4,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
248,48.55,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
249,99.0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
250,93.5,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
251,70.4,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
252,40.2,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
253,83.7,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0
254,19.85,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
255,59.55,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
256,115.1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
257,114.35,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
258,44.6,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
259,45.0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
260,41.15,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
261,106.9,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
262,89.85,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
263,49.85,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0
264,113.3,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
265,88.1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1
266,24.9,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0
267,105.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1
268,19.35,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
269,24.25,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
270,94.45,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
271,59.75,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0
272,24.8,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0
273,107.05,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
274,70.6,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1
275,85.4,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
276,105.05,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
277,64.95,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0
278,55.0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
279,50.55,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0
280,55.15,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
281,51.2,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
282,25.4,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1
283,54.45,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
284,95.15,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
285,76.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
286,44.35,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
287,70.0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
288,74.5,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
289,44.85,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
290,76.1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
291,61.2,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
292,86.8,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1
293,89.35,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
294,19.7,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
